,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
154,PNJ,84.7,2021-03-01,PNJ,86.0,2021-03-01,-1.2999999999999972,2.0
155,PNJ,84.9,2021-02-26,PNJ,84.9,2021-02-26,0.0,3.0
156,PNJ,84.0,2021-02-25,PNJ,83.0,2021-02-25,1.0,1.0
157,PNJ,82.8,2021-02-24,PNJ,83.5,2021-02-24,-0.7000000000000028,2.0
158,PNJ,83.5,2021-02-23,PNJ,85.0,2021-02-23,-1.5,2.0
159,PNJ,85.1,2021-02-22,PNJ,86.0,2021-02-22,-0.9000000000000057,2.0
160,PNJ,86.9,2021-02-19,PNJ,87.0,2021-02-19,-0.09999999999999432,2.0
161,PNJ,87.5,2021-02-18,PNJ,87.0,2021-02-18,0.5,1.0
162,PNJ,86.5,2021-02-17,PNJ,84.0,2021-02-17,2.5,1.0
163,PNJ,83.6,2021-02-09,PNJ,82.5,2021-02-09,1.0999999999999943,1.0
164,PNJ,80.9,2021-02-08,PNJ,83.9,2021-02-08,-3.0,2.0
165,PNJ,83.9,2021-02-05,PNJ,82.9,2021-02-05,1.0,1.0
166,PNJ,82.9,2021-02-04,PNJ,82.8,2021-02-04,0.10000000000000853,1.0
167,PNJ,82.9,2021-02-03,PNJ,83.5,2021-02-03,-0.5999999999999943,2.0
168,PNJ,81.5,2021-02-02,PNJ,78.0,2021-02-02,3.5,1.0
169,PNJ,78.8,2021-02-01,PNJ,82.0,2021-02-01,-3.200000000000003,2.0
170,PNJ,83.1,2021-01-29,PNJ,75.0,2021-01-29,8.099999999999994,1.0
171,PNJ,77.7,2021-01-28,PNJ,78.0,2021-01-28,-0.29999999999999716,2.0
172,PNJ,83.5,2021-01-27,PNJ,85.0,2021-01-27,-1.5,2.0
173,PNJ,85.0,2021-01-26,PNJ,87.0,2021-01-26,-2.0,2.0
174,PNJ,87.0,2021-01-25,PNJ,84.6,2021-01-25,2.4000000000000057,1.0
175,PNJ,84.0,2021-01-22,PNJ,83.0,2021-01-22,1.0,1.0
176,PNJ,82.4,2021-01-21,PNJ,81.0,2021-01-21,1.4000000000000057,1.0
177,PNJ,80.5,2021-01-20,PNJ,79.0,2021-01-20,1.5,1.0
